current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic,integral_force,integral_force2,diff,diff2,diff inverted,diff inverted 2
0,0.7,-63.5398,0.00000352796,-63.4527,0.00000351959,-58.5567,0.00000328161,-58.5831,0.00000328244,0,0,3,0,4.83569,2,0,46861,63.5398,0.00000352796,63.4527,0.00000351959,0,0,1,0.0015,0.0015,-69.1116,69.1116,0,-69.1116,69.1116,0,0,-138.2232,138.2232
0,0.7,-34.0059,0.00000670259,-33.9624,0.00000668637,-31.2429,0.00000623794,-31.2538,0.00000623953,0,0,3,0,4.56952,2,1,50373,34.0059,0.0000067026,33.9624,0.00000668637,0,0,1,0.0015,0.0015,-36.6612,36.6612,0,-36.6612,36.6612,0,0,-73.3224,73.3224
0,0.7,-20.1248,0.0000114936,-20.1,0.0000114655,-18.4605,0.0000106993,-18.4659,0.000010702,0,0,3,0,7.86383,2,2,50373,20.1248,0.0000114936,20.1,0.0000114655,0,0,1,0.0015,0.0015,-21.5879,21.5879,0,-21.5879,21.5879,0,0,-43.1758,43.1758
0,0.7,-8.66998,0.0000274655,-8.65969,0.0000273973,-7.94108,0.000025572,-7.94299,0.0000255786,0,0,3,0,5.95054,2,4,48445,8.66998,0.0000274655,8.65969,0.0000273973,0,0,1,0.0015,0.0015,-9.25558,9.25558,0,-9.25558,9.25558,0,0,-18.51116,18.51116
0,0.7,-2.60697,0.0000944311,-2.60395,0.0000941942,-2.38537,0.0000879299,-2.38586,0.0000879527,0,0,3,0,5.01693,2,8,49589,2.60697,0.0000944311,2.60395,0.0000941942,0,0,1,0.0015,0.0015,-2.77441,2.77441,0,-2.77441,2.77441,0,0,-5.54882,5.54882
0,0.7,-0.56871,0.000395993,-0.568058,0.000394994,-0.520105,0.000368749,-0.520203,0.000368845,0,0,3,0,6.24762,2,16,51605,0.56871,0.000395993,0.568058,0.000394994,0,0,1,0.0015,0.0015,-0.60429,0.60429,0,-0.60429,0.60429,0,0,-1.20858,1.20858
0,0.8,-75.4471,0.00000411686,-75.3421,0.00000410537,-69.5698,0.0000038292,-69.6058,0.00000383036,0,0,3,0,4.56294,2,0,46861,75.4471,0.00000411685,75.3421,0.00000410537,0,0,1,0.0015,0.0015,-83.2003,83.2003,0,-83.2003,83.2003,0,0,-166.4006,166.4006
0,0.8,-40.2418,0.00000779644,-40.1906,0.00000777429,-36.9991,0.00000725526,-37.0136,0.00000725746,0,0,3,0,7.17039,2,1,50373,40.2418,0.00000779644,40.1906,0.00000777429,0,0,1,0.0015,0.0015,-43.982,43.982,0,-43.982,43.982,0,0,-87.964,87.964
0,0.8,-23.7721,0.0000133451,-23.7433,0.0000133068,-21.8237,0.0000124214,-21.8309,0.0000124252,0,0,3,0,7.21932,2,2,50373,23.7721,0.0000133451,23.7433,0.0000133068,0,0,1,0.0015,0.0015,-25.8532,25.8532,0,-25.8532,25.8532,0,0,-51.7064,51.7064
0,0.8,-10.2232,0.0000318311,-10.2114,0.0000317385,-9.37194,0.0000296326,-9.37443,0.0000296417,0,0,3,0,5.29512,2,4,48445,10.2232,0.0000318311,10.2114,0.0000317385,0,0,1,0.0015,0.0015,-11.066,11.066,0,-11.066,11.066,0,0,-22.132,22.132
0,0.8,-3.07018,0.000109294,-3.06675,0.000108973,-2.81182,0.000101754,-2.81245,0.000101786,0,0,3,0,7.21497,2,8,49589,3.07018,0.000109294,3.06675,0.000108973,0,0,1,0.0015,0.0015,-3.31337,3.31337,0,-3.31337,3.31337,0,0,-6.62674,6.62674
0,0.8,-0.669339,0.000458001,-0.668601,0.000456649,-0.612718,0.000426425,-0.612842,0.000426557,0,0,3,0,6.76882,2,16,51605,0.669339,0.000458001,0.668601,0.000456649,0,0,1,0.0015,0.0015,-0.721278,0.721278,0,-0.721278,0.721278,0,0,-1.442556,1.442556
0,0.9,-86.7651,0.00000465479,-86.6481,0.00000463999,-80.0556,0.00000432914,-80.1015,0.00000433066,0,0,3,0,5.17026,2,0,46861,86.7651,0.00000465479,86.6481,0.00000463999,0,0,1,0.0015,0.0015,-96.8982,96.8982,0,-96.8982,96.8982,0,0,-193.7964,193.7964
0,0.9,-46.1372,0.00000879036,-46.0817,0.00000876193,-42.4519,0.00000817906,-42.4702,0.00000818193,0,0,3,0,6.22252,2,1,50373,46.1372,0.00000879036,46.0817,0.00000876193,0,0,1,0.0015,0.0015,-51.061,51.061,0,-51.061,51.061,0,0,-102.122,102.122
0,0.9,-27.2106,0.0000150226,-27.1798,0.0000149735,-25.0015,0.0000139805,-25.0103,0.0000139854,0,0,3,0,6.37874,2,2,50373,27.2106,0.0000150226,27.1798,0.0000149735,0,0,1,0.0015,0.0015,-29.9667,29.9667,0,-29.9667,29.9667,0,0,-59.9334,59.9334
0,0.9,-11.6836,0.0000357747,-11.6711,0.0000356564,-10.7205,0.0000332979,-10.7235,0.0000333097,0,0,3,0,4.72823,2,4,48445,11.6836,0.0000357747,11.6711,0.0000356564,0,0,1,0.0015,0.0015,-12.8077,12.8077,0,-12.8077,12.8077,0,0,-25.6154,25.6154
0,0.9,-3.50492,0.000122691,-3.50134,0.000122282,-3.21304,0.000114206,-3.2138,0.000114247,0,0,3,0,4.64242,2,8,49589,3.50492,0.000122691,3.50134,0.000122282,0,0,1,0.0015,0.0015,-3.83107,3.83107,0,-3.83107,3.83107,0,0,-7.66214,7.66214
0,0.9,-0.763696,0.000513834,-0.762932,0.000512112,-0.699777,0.000478316,-0.699926,0.000478487,0,0,3,0,4.68167,2,16,51605,0.763696,0.000513834,0.762932,0.000512112,0,0,1,0.0015,0.0015,-0.833564,0.833564,0,-0.833564,0.833564,0,0,-1.667128,1.667128
0,1,-97.392,0.00000514005,-97.27,0.00000512186,-89.9185,0.00000477986,-89.9743,0.00000478175,0,0,3,0,4.58858,2,0,46861,97.392,0.00000514005,97.27,0.00000512186,0,0,1,0.0015,0.0015,-110.015,110.015,0,-110.015,110.015,0,0,-220.03,220.03
0,1,-51.6466,0.00000968283,-51.5904,0.000009648,-47.5583,0.00000900796,-47.5802,0.00000901153,0,0,3,0,4.80145,2,1,50373,51.6466,0.00000968284,51.5904,0.00000964801,0,0,1,0.0015,0.0015,-57.8066,57.8066,0,-57.8066,57.8066,0,0,-115.6132,115.6132
0,1,-30.4163,0.0000165251,-30.3857,0.000016465,-27.9706,0.0000153759,-27.9811,0.000015382,0,0,3,0,5.09111,2,2,50373,30.4163,0.000016525,30.3857,0.000016465,0,0,1,0.0015,0.0015,-33.8773,33.8773,0,-33.8773,33.8773,0,0,-67.7546,67.7546
